"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"ridge_class","take_matdis",2.3e+07,2100000,1.3e+07,3800000,4300000,0.357,0.329,0.65,6400000,16800000,5900000,17300000,5e+05,-5e+05,191739.130434783,7347826.08695652,9452173.91304348,6208260.86956522,0.0198818808890492,0.0299592391304348,0.324981259370315,0.337118119110951,0.299040760869565,0.325018740629685
"ridge_class","take_bond",1.6e+07,0,1.5e+07,590000,4e+05,0,0,0.94,4e+05,15590000,590000,15400000,-190000,190000,0,14062500,1527500,4e+05,0,0,0.879455909943715,0,0,0.0605440900562851
"ridge_class","need_own",7.4e+07,1800000,5.4e+07,9500000,8600000,0.162,0.176,0.75,10400000,63500000,11300000,62600000,-9e+05,9e+05,43783.7837837838,39405405.4054054,24094594.5945946,10356216.2162162,0.00181386599785023,0.00420997920997921,0.5338185275939,0.16018613400215,0.171790020790021,0.2161814724061
"ridge_class","need_illspouse",5.2e+07,50000,4.9e+07,1100000,1400000,0.044,0.035,0.95,1450000,50100000,1150000,50400000,3e+05,-3e+05,48.0769230769231,46173076.9230769,3926923.07692308,1449951.92307692,1.22427492317675e-05,3.31564986737401e-05,0.89569592628516,0.0439877572507682,0.0349668435013263,0.0543040737148399
"ridge_class","need_illchild",7.4e+07,240000,6.9e+07,2600000,2100000,0.086,0.104,0.94,2340000,71600000,2840000,71100000,-5e+05,5e+05,778.378378378378,64337837.8378378,7262162.16216216,2339221.62162162,0.000107171244764238,0.000332640332640333,0.870146283692402,0.0858928287552358,0.10366735966736,0.0698537163075978
"ridge_class","need_illparent",7.4e+07,330000,6.7e+07,3300000,2900000,0.09,0.103,0.92,3230000,70300000,3630000,69900000,-4e+05,4e+05,1471.62162162162,60662162.1621622,9637837.83783784,3228528.37837838,0.00015266878066431,0.000455610409170781,0.825018819308905,0.0898473312193357,0.102544389590829,0.0949811806910951
"ridge_class","need_matdis",2.3e+07,57000,2.2e+07,790000,530000,0.068,0.097,0.94,587000,22790000,847000,22530000,-260000,260000,141.260869565217,21043478.2608696,1746521.73913043,586858.739130435,8.08747134193702e-05,0.000240648840826605,0.900184776564107,0.0679191252865806,0.0967593511591734,0.0398152234358928
"ridge_class","need_bond",3.9e+07,150000,3.6e+07,1700000,1700000,0.079,0.081,0.91,1850000,37700000,1850000,37700000,0,0,576.923076923077,33230769.2307692,4469230.76923077,1849423.07692308,0.000129071118186121,0.000311850311850312,0.840236312360206,0.0788709288818139,0.0806881496881497,0.069763687639794
"ridge_class","resp_len",7.4e+07,1.6e+07,2.2e+07,1.8e+07,1.8e+07,0.471,0.463,0.51,3.4e+07,4e+07,3.4e+07,4e+07,0,0,3459459.45945946,6540540.54054054,33459459.4594595,30540540.5405405,0.0937042459736457,0.101748807631161,0.135135135135135,0.377295754026354,0.361251192368839,0.374864864864865
"KNN1","take_own",7.4e+07,1.6e+07,2.6e+07,1.5e+07,1.7e+07,0.515,0.477,0.57,3.3e+07,4.1e+07,3.1e+07,4.3e+07,2e+06,-2e+06,3459459.45945946,9135135.13513513,31864864.8648649,29540540.5405405,0.0979342004590666,0.104832104832105,0.170197224251278,0.417065799540933,0.372167895167895,0.399802775748722
